# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Tue, 25 Apr 2023 03:09:30 +0200
#
# IP	number of (black)lists
#
179.43.163.131	12
173.249.50.36	10
185.224.128.215	10
203.81.66.110	10
202.90.198.2	10
103.237.144.204	10
176.97.210.30	9
176.111.173.47	9
162.247.74.74	9
171.25.193.78	9
94.23.165.51	9
211.210.79.220	9
211.23.21.150	9
182.16.249.18	9
179.43.142.241	9
146.19.169.228	9
171.25.193.20	9
103.167.199.179	9
203.199.243.13	9
20.219.150.38	9
165.22.106.35	9
211.224.63.169	9
43.156.205.162	9
134.122.70.151	9
2.188.229.63	9
5.10.250.44	9
94.131.118.115	9
114.207.104.104	9
222.74.23.242	9
43.153.214.221	8
38.97.116.244	8
41.216.47.138	8
27.71.27.195	8
162.247.74.206	8
206.189.136.57	8
43.254.41.70	8
46.101.226.23	8
141.148.84.47	8
20.114.203.66	8
92.46.109.42	8
184.168.121.63	8
175.24.183.14	8
118.163.136.49	8
61.177.172.114	8
157.230.6.109	8
80.82.77.139	8
78.142.18.220	8
59.44.228.196	8
51.89.153.112	8
170.64.186.100	8
45.235.6.58	8
121.18.159.58	8
45.119.212.196	8
20.110.135.163	8
218.146.7.212	8
61.177.172.61	8
218.75.118.166	8
85.208.136.203	8
141.98.10.172	8
162.247.74.27	8
101.43.21.125	8
43.135.178.46	8
40.85.163.148	8
36.110.228.254	8
162.247.74.217	8
20.219.149.128	8
46.101.154.24	8
66.240.236.109	8
171.25.193.235	8
92.222.108.86	8
112.172.162.85	8
197.26.19.193	8
146.59.233.75	8
167.86.94.107	8
45.139.11.29	8
164.92.157.106	8
194.110.203.131	8
181.117.240.43	8
185.56.83.83	8
159.223.45.126	8
116.120.156.45	8
195.226.194.242	8
188.171.35.7	8
162.142.125.217	8
185.220.101.52	8
36.92.36.146	8
61.177.172.124	8
210.95.97.86	8
170.64.190.184	8
185.129.62.62	8
45.235.6.60	8
165.232.117.69	8
158.220.109.51	8
61.111.11.240	8
195.226.194.142	8
61.177.172.53	8
103.215.80.101	8
38.7.201.254	8
